alpha,auc,ap,accuracy,precision,recall,f1,mcc
0.0,0.79386,0.8382500923215819,0.672,0.9725274725274725,0.354,0.5190615835777126,0.44577540277381245
0.05,0.8760239999999999,0.8817043922223624,0.73,0.9831932773109243,0.468,0.6341463414634146,0.5400846968221771
0.1,0.9108639999999999,0.9079826839526883,0.746,0.984251968503937,0.5,0.6631299734748011,0.5651306149339039
0.15,0.9336039999999999,0.9309745416756712,0.752,0.9846153846153847,0.512,0.6736842105263158,0.574510548260317
0.2,0.947364,0.9452536195491239,0.76,0.9850746268656716,0.528,0.6875,0.5870166375377325
0.25,0.9585680000000001,0.9579524549800534,0.768,0.9820143884892086,0.546,0.7017994858611826,0.5981964030374531
0.3,0.965684,0.9658156498256134,0.781,0.9895470383275261,0.568,0.7217280813214739,0.6211844943919874
0.35,0.972028,0.9732110812987247,0.792,0.9899328859060402,0.59,0.7393483709273183,0.6384195288584278
0.4,0.9743200000000001,0.9763131686469989,0.805,0.9935275080906149,0.614,0.7589616810877626,0.6600572048349465
0.45,0.9771400000000001,0.9803675072451724,0.818,0.9877300613496932,0.644,0.7796610169491526,0.6784039558603784
0.5,0.9780320000000001,0.9810751226089575,0.878,0.9821428571428571,0.77,0.8632286995515696,0.7742781018131459
0.55,0.978948,0.9818577900907327,0.92,0.9794520547945206,0.858,0.9147121535181236,0.8465333599959993
0.6,0.9800760000000001,0.9828718522893595,0.922,0.9752252252252253,0.866,0.9173728813559322,0.8493438962627959
0.65,0.981264,0.9839289376852041,0.922,0.9752252252252253,0.866,0.9173728813559322,0.8493438962627959
0.7,0.981744,0.9841811549061713,0.924,0.9732142857142857,0.872,0.919831223628692,0.8526235240163176
0.75,0.982128,0.9843680145445803,0.927,0.9713024282560706,0.88,0.9233997901364114,0.8577981610292927
0.8,0.98266,0.984732183978212,0.928,0.9692982456140351,0.884,0.9246861924686193,0.8593338072968275
0.85,0.9833559999999999,0.9853050896284776,0.929,0.9693654266958425,0.886,0.9258098223615465,0.8611905931688358
0.9,0.9842679999999999,0.9861758454385366,0.93,0.9694323144104804,0.888,0.9269311064718163,0.8630502313493273
0.95,0.9846199999999999,0.9862354155296958,0.929,0.9673202614379085,0.888,0.9259645464025026,0.8608992250119116
1.0,0.983488,0.9844807176657985,0.929,0.96529284164859,0.89,0.9261186264308012,0.8606220062991226
