alpha,auc,ap,accuracy,precision,recall,f1,mcc
0.0,0.8028760000000001,0.8209675668414687,0.728,0.9042553191489362,0.51,0.6521739130434783,0.5066966940271498
0.05,0.859328,0.8600044099210069,0.785,0.9253731343283582,0.62,0.7425149700598802,0.6038257560836746
0.1,0.8938279999999998,0.890986553836378,0.803,0.9365994236311239,0.65,0.7674144037780402,0.6365335519974342
0.15,0.917408,0.9151537990608698,0.822,0.9447513812154696,0.684,0.7935034802784223,0.6700253697329934
0.2,0.9354,0.93538831034698,0.829,0.9482288828337875,0.696,0.8027681660899654,0.6825917120409317
0.25,0.9497199999999999,0.9516593874225554,0.84,0.9594594594594594,0.71,0.8160919540229885,0.7042190681346934
0.3,0.95992,0.9620181780888728,0.853,0.9656992084432717,0.732,0.8327645051194539,0.7276278281496839
0.35,0.9689439999999999,0.9716893395865542,0.858,0.9735449735449735,0.736,0.8382687927107062,0.7383154122754981
0.4,0.975944,0.9786102117042157,0.87,0.9792746113989638,0.756,0.8532731376975169,0.7600180141393628
0.45,0.980144,0.9826428480019606,0.885,0.9800498753117207,0.786,0.8723640399556049,0.78555234971342
0.5,0.9817,0.983972015167095,0.936,0.9759825327510917,0.894,0.9331941544885177,0.8750927927169924
0.55,0.9836679999999999,0.9857675850694798,0.96,0.9791666666666666,0.94,0.9591836734693877,0.920736884379251
0.6,0.9853839999999999,0.9872202512288206,0.959,0.9751552795031055,0.942,0.9582909460834181,0.9185310644772825
0.65,0.986696,0.9883192752036231,0.959,0.9751552795031055,0.942,0.9582909460834181,0.9185310644772825
0.7,0.9879600000000001,0.9893420046139065,0.961,0.9752577319587629,0.946,0.9604060913705583,0.9224151802677087
0.75,0.989356,0.9905379743515248,0.959,0.971252566735113,0.946,0.9584599797365755,0.9183104414026607
0.8,0.990804,0.9921465589455328,0.959,0.971252566735113,0.946,0.9584599797365755,0.9183104414026607
0.85,0.9916240000000001,0.9927146459699876,0.958,0.9692622950819673,0.946,0.9574898785425101,0.9162639220197868
0.9,0.992696,0.9935125352427183,0.959,0.9693251533742331,0.948,0.9585439838220424,0.9182222366751677
0.95,0.993944,0.9945433751343387,0.96,0.9693877551020408,0.95,0.9595959595959596,0.9201840552184064
1.0,0.99526,0.9955845890813729,0.96,0.9693877551020408,0.95,0.9595959595959596,0.9201840552184064
