generator_id,n_fake,fake_recall_at_0.5,mean_ensemble_score,auc_vs_all_real,ap_vs_all_real
OpenSource_T2V_Open-Sora,25,0.48,0.4483314440062855,0.932,0.4314899747997255
OpenSource_I2V_Pyramid-Flow,25,0.52,0.5170588097647306,0.8764799999999999,0.5474975785268199
OpenSource_I2V_EasyAnimate,25,0.56,0.5787145923011022,0.96576,0.593907759703058
OpenSource_T2V_Cogvideox1.5,25,0.84,0.7935189507504957,0.98512,0.8577681025604055
OpenSource_V2V_Cogvideox1.5,25,0.84,0.7775281221775008,0.98152,0.8567718329029806
OpenSource_I2V_SEINE,25,0.88,0.7774637867145353,0.98776,0.8050160849154346
OpenSource_T2V_AnimateDiff,25,0.92,0.8441436523949903,0.99176,0.88980638246676
OpenSource_I2V_LTX,25,0.92,0.8628671583143733,0.9952,0.9338730179055528
OpenSource_T2V_AccVideo,25,0.96,0.92087821984153,0.99752,0.9765818181818183
OpenSource_I2V_VideoCrafter,25,0.96,0.8999506180245399,0.9967999999999999,0.9608533533533535
OpenSource_T2V_Pyramid-Flow,25,0.96,0.9108721194279598,0.99744,0.9651604896285748
OpenSource_I2V_SVD,25,0.96,0.8589910172668218,0.9912799999999999,0.9049911731543072
OpenSource_V2V_LTX,25,0.96,0.8619607089875242,0.99384,0.9049892516803992
OpenSource_T2V_HunyuanVideo,25,1.0,0.9415433826442096,0.99896,0.9810563078187203
OpenSource_T2V_IPOC,25,1.0,0.9516479006296612,0.99992,0.9984615384615386
OpenSource_T2V_EasyAnimate,25,1.0,0.888394051024774,0.99584,0.9314240994643472
OpenSource_T2V_RepVideo,25,1.0,0.9357382258159282,0.99984,0.9968615384615387
OpenSource_T2V_LTX,25,1.0,0.9103776939798823,0.9984,0.9652910073235421
OpenSource_T2V_Wan2.1,25,1.0,0.955599268953842,0.99992,0.9984615384615386
OpenSource_T2V_VideoCrafter,25,1.0,0.9497707640975467,1.0,1.0000000000000002
