generator_id,n_fake,fake_recall_at_0.5,mean_final_score_fake,mean_original_score_fake,mean_optical_score_fake,auc_vs_all_real,ap_vs_all_real
OpenSource_I2V_SEINE,25,0.0,0.24004953527211303,0.48009906928050095,1.2637252334798473e-09,0.74,0.20305917412371938
OpenSource_I2V_SVD,25,0.0,0.18546642671872285,0.370932853300647,1.3679867350754294e-10,0.5907200000000001,0.15596053250254407
OpenSource_T2V_Open-Sora,25,0.0,0.20639333674883592,0.41278667349766635,5.473325578528903e-15,0.64528,0.16961443548720195
OpenSource_T2V_LTX,25,0.04,0.12529273458421686,0.13193734848604005,0.11864812068239368,0.59496,0.08194243390568728
OpenSource_I2V_Pyramid-Flow,25,0.08,0.15990721843915384,0.3154351379019369,0.0043792989763708386,0.52808,0.11557997833029358
OpenSource_I2V_EasyAnimate,25,0.08,0.35225896110345034,0.7044686453665586,4.9276840342018194e-05,0.84192,0.3912246187858656
OpenSource_I2V_LTX,25,0.08,0.11008172297434529,0.14376463029245307,0.0763988156562375,0.52776,0.08070900831362152
OpenSource_V2V_LTX,25,0.08,0.12792309314886768,0.12033329397506237,0.135512892322673,0.5496000000000001,0.09099766322664282
OpenSource_T2V_Cogvideox1.5,25,0.28,0.3005691180020531,0.5063529541067644,0.09478528189734199,0.75176,0.2840143003014085
OpenSource_I2V_VideoCrafter,25,0.28,0.4248373033147518,0.8496746051613673,1.4681362337104611e-09,0.9356,0.5245365038547456
OpenSource_V2V_Cogvideox1.5,25,0.32,0.29553156400004044,0.5033652971754268,0.08769783082465418,0.756,0.30003757088770244
OpenSource_T2V_Pyramid-Flow,25,0.32,0.35480092934242213,0.7012564583983439,0.008345400286500564,0.83248,0.38751780522378165
OpenSource_T2V_RepVideo,25,0.4,0.3892350235086895,0.6320487596677852,0.14642128734959398,0.8696,0.4292828131471326
OpenSource_T2V_EasyAnimate,25,0.52,0.48226469716448767,0.9453574686869979,0.019171925641977446,0.9814399999999999,0.6034014282762166
OpenSource_T2V_VideoCrafter,25,0.56,0.49997284753243415,0.9999439580738545,1.7369910139878462e-06,0.99,0.6576692404825885
OpenSource_T2V_IPOC,25,0.64,0.5189618217769877,0.8723163796064232,0.16560726394755232,0.94144,0.6348733390538398
OpenSource_T2V_HunyuanVideo,25,0.76,0.5208470676142614,0.8434435838722742,0.1982505513562484,0.89952,0.6407075405149862
OpenSource_T2V_AccVideo,25,0.84,0.551307933909301,0.9205060442934837,0.18210982352511812,0.9477599999999999,0.7126997431808778
OpenSource_T2V_Wan2.1,25,0.84,0.5566150882740408,0.9195752011621567,0.19365497538592502,0.96072,0.7018400751687932
OpenSource_T2V_AnimateDiff,25,0.96,0.6813674417120968,0.9780057130428031,0.3847291703813906,0.9925599999999999,0.8459712091799
