generator_id,n_fake,fake_recall_at_0.5,mean_final_score_fake,mean_original_score_fake,mean_optical_score_fake,auc_vs_all_real,ap_vs_all_real
OpenSource_I2V_EasyAnimate,2,0.0,0.44000719641417063,0.8800143683329225,2.4495418803362506e-08,1.0,1.0
OpenSource_I2V_VideoCrafter,2,0.0,0.32559478188732416,0.6511895637668204,7.827940978372984e-12,1.0,1.0
OpenSource_T2V_LTX,1,0.0,5.812688046169523e-08,4.701758923864041e-08,6.923617168475005e-08,0.19999999999999996,0.2
OpenSource_T2V_HunyuanVideo,1,0.0,0.008486406574689085,0.00032804182608003885,0.01664477132329813,0.6,0.3333333333333333
OpenSource_V2V_Cogvideox1.5,1,0.0,0.49962044111966997,0.9992408379912376,4.424810234293794e-08,1.0,1.0
OpenSource_T2V_EasyAnimate,2,0.5,0.4632977972964414,0.9179503347841091,0.008645259808773547,1.0,1.0
OpenSource_T2V_RepVideo,2,0.5,0.2999345974636672,0.5295686339986787,0.07030056092865568,0.9,0.8333333333333333
OpenSource_T2V_AccVideo,1,1.0,0.5250118496864767,0.9999998062849045,0.050023893088048985,1.0,1.0
OpenSource_T2V_Pyramid-Flow,1,1.0,0.5200604509362403,0.9668011479079723,0.07331975396450824,1.0,1.0
OpenSource_T2V_AnimateDiff,1,1.0,0.5032361190487477,0.9999998584389687,0.00647237965852665,1.0,1.0
OpenSource_T2V_Wan2.1,1,1.0,0.606449895183311,1.0,0.2128997903666221,1.0,1.0
