generator_id,n_fake,fake_recall_at_0.5,mean_score_fake,auc_vs_all_real,ap_vs_all_real
OpenSource_T2V_AnimateDiff,25,0.88,0.8740917317057538,0.3915599999999999,0.03813921272261964
OpenSource_T2V_EasyAnimate,25,0.92,0.9253138788789511,0.52476,0.05013447766236691
OpenSource_I2V_Pyramid-Flow,25,0.92,0.9307702940516174,0.50304,0.0478646798213427
OpenSource_T2V_Wan2.1,25,0.92,0.9386357977800072,0.5024000000000001,0.04785285471354918
OpenSource_T2V_AccVideo,25,0.92,0.9226048726850422,0.5396000000000001,0.052142025771249614
OpenSource_V2V_Cogvideox1.5,25,0.92,0.9198253221176361,0.48932000000000003,0.04646034308272808
OpenSource_T2V_IPOC,25,0.92,0.9223002807237208,0.49868,0.04764186004519716
OpenSource_I2V_LTX,25,0.96,0.95990583062714,0.5444000000000001,0.052495574534555015
OpenSource_T2V_Cogvideox1.5,25,0.96,0.9446439671671948,0.54912,0.05392173059194673
OpenSource_T2V_VideoCrafter,25,1.0,0.9978635358810425,0.61876,0.06223617597767399
OpenSource_T2V_RepVideo,25,1.0,0.9886112856864929,0.5996400000000001,0.05957785863373829
OpenSource_T2V_Pyramid-Flow,25,1.0,0.9999982452392578,0.54376,0.05138332856474641
OpenSource_T2V_Open-Sora,25,1.0,0.9999646353721618,0.6356,0.06482108503270488
OpenSource_I2V_EasyAnimate,25,1.0,0.9999672675132751,0.5518400000000001,0.05283396904999801
OpenSource_T2V_HunyuanVideo,25,1.0,0.9947674989700317,0.546,0.052482740944707534
OpenSource_I2V_VideoCrafter,25,1.0,0.9999989318847656,0.6212,0.06238827218226162
OpenSource_I2V_SVD,25,1.0,0.9999814128875733,0.6018000000000001,0.05972035373245462
OpenSource_I2V_SEINE,25,1.0,0.994731113910675,0.5681200000000001,0.055129621638249304
OpenSource_T2V_LTX,25,1.0,0.9999506449699402,0.6182400000000001,0.06219508534448263
OpenSource_V2V_LTX,25,1.0,0.9993679666519165,0.52104,0.049929329145928965
