generator_id,n_fake,fake_recall_at_0.5,mean_score_fake,auc_vs_all_real,ap_vs_all_real
OpenSource_T2V_RepVideo,25,0.84,0.840911658184621,0.41268000000000005,0.039582863860498765
OpenSource_I2V_SVD,25,0.92,0.9273226863145828,0.5556800000000001,0.05423551055781671
OpenSource_T2V_VideoCrafter,25,0.92,0.9263894164888188,0.41512,0.03965677353213723
OpenSource_T2V_EasyAnimate,25,0.96,0.9600248259585351,0.59748,0.05955835607814589
OpenSource_I2V_LTX,25,0.96,0.9603679096698761,0.5949599999999999,0.059379685731867415
OpenSource_I2V_Pyramid-Flow,25,0.96,0.9601718137972057,0.5932,0.059250685463991044
OpenSource_I2V_SEINE,25,0.96,0.9665481758117676,0.57424,0.055652796402830246
OpenSource_T2V_Cogvideox1.5,25,0.96,0.954154990836978,0.6067199999999999,0.06161953993528251
OpenSource_T2V_Open-Sora,25,0.96,0.9629995292425155,0.6095200000000001,0.06177692300287813
OpenSource_T2V_Wan2.1,25,1.0,0.9996587777137756,0.5381199999999999,0.05095320408958929
OpenSource_T2V_Pyramid-Flow,25,1.0,0.9999955463409423,0.60228,0.059899050268966074
OpenSource_T2V_LTX,25,1.0,0.9999999666213989,0.64236,0.0654952004714569
OpenSource_I2V_EasyAnimate,25,1.0,0.9990185523033142,0.4984,0.0474194245679008
OpenSource_T2V_HunyuanVideo,25,1.0,0.9998217654228211,0.64976,0.06759587307767179
OpenSource_V2V_Cogvideox1.5,25,1.0,0.9999997615814209,0.62588,0.06282855069945525
OpenSource_T2V_AnimateDiff,25,1.0,0.9999927902221679,0.5811200000000001,0.057072812472764994
OpenSource_T2V_AccVideo,25,1.0,0.9997902417182922,0.61392,0.062015185514622984
OpenSource_I2V_VideoCrafter,25,1.0,0.9802952480316162,0.6096,0.061772349662773264
OpenSource_T2V_IPOC,25,1.0,1.0,0.6719999999999999,0.0708215297450425
OpenSource_V2V_LTX,25,1.0,0.9999972534179687,0.65256,0.06776936026936026
