"videoID","index","start_timestamp","end_timestamp"
"--8AskBKRko",0,"0:00:06.000","0:00:54.000"
"-CFUFJNWORs",1,"0:03:31.387","0:03:47.966"
"-2r5lvgKnv0",2,"0:04:04.043","0:04:24.998"
"-8J85kQaLI4",0,"0:00:01.320","0:00:12.000"
"-QTxlOX8NNI",1,"0:00:41.708","0:01:01.227"
"-Q8aRaYfeOY",0,"0:01:52.766","0:01:59.900"
"-0NKp7SyhKA",1,"0:08:54.433","0:09:02.975"
"-Pkuho1Z1eA",2,"0:00:57.057","0:01:05.565"
"-EvC5iGAkJc",1,"0:00:21.960","0:01:09.960"
"-FOhpcrdnME",1,"0:07:07.960","0:07:47.233"
"--apVvW8qEc",0,"0:00:14.347","0:00:49.582"
"-1ejHXPwGRY",0,"0:00:13.046","0:00:25.825"
"-C1s3J3owDs",1,"0:03:31.377","0:04:05.845"
"-JHxJoVOew8",1,"0:09:38.800","0:09:53.400"
"-PsjE_YNcpM",2,"0:01:05.466","0:01:14.933"
"-QSmNwY3MqE",0,"0:05:24.023","0:06:01.394"
"-00Gg-hgtLI",0,"0:00:10.360","0:00:16.440"
"-01s6VrNUA8",0,"0:00:00.834","0:00:07.607"
"-O1Uom14SG4",0,"0:00:16.640","0:00:26.080"
"-Q9IsNvthbA",2,"0:01:41.433","0:01:56.366"
"-IYanev3wbk",0,"0:00:23.000","0:01:11.000"
"-PndHEH_os0",1,"0:00:19.266","0:00:37.900"
"-QQWiIDliog",0,"0:00:12.429","0:00:18.810"
"-Qmzt9F5Q8k",0,"0:00:05.972","0:00:54.020"
"-9-OPR4ZTJI",0,"0:00:10.977","0:00:58.992"
"-PlKhpBdgLU",0,"0:00:03.336","0:00:17.517"
"-0MNKMpwaUY",1,"0:00:28.280","0:00:33.400"
"-GiOBepuhE4",2,"0:06:01.627","0:06:17.410"
"-1YB7g-XMwc",2,"0:02:10.597","0:02:58.645"
"-QOvB-7cCsU",1,"0:00:20.186","0:00:31.464"
"-C_meAzbQNg",2,"0:04:36.080","0:04:46.600"
"--refWA8V0E",2,"0:01:57.150","0:02:04.290"
"-4EpbJmCzPs",2,"0:03:24.820","0:03:54.960"
"-7fCeZ75hns",0,"0:00:07.200","0:00:34.280"
"-QxEydlHG2I",1,"0:00:12.533","0:00:29.633"
"-LKWYecMbqY",0,"0:00:15.915","0:01:03.963"
"--VvYTvtpt4",0,"0:00:08.720","0:00:24.720"
"--9TX7D0Fu0",1,"0:01:18.378","0:01:54.581"
"--tkNgYHpvQ",1,"0:00:15.715","0:00:40.507"
"-8VpQsCXq34",0,"0:11:23.520","0:12:06.900"
"-CnlCAaAfh8",0,"0:00:01.968","0:00:17.917"
"--3ny0T12Mc",0,"0:00:11.044","0:00:59.092"
"-PsSulF5G8g",1,"0:05:22.113","0:06:10.161"
"-LxGCjwd8Mg",2,"0:01:38.960","0:01:56.160"
"-BHp-oLWFHo",0,"0:00:06.000","0:00:54.000"
"-5B4SABJ7Uw",0,"0:01:57.360","0:02:03.440"
"--grQ2z0K_o",1,"0:00:25.258","0:00:46.079"
"-QwSs33kP-c",0,"0:00:02.877","0:00:09.759"
"-7K45AWzNC0",2,"0:10:19.352","0:10:27.660"
"-A5zTe_77Ew",0,"0:00:05.500","0:00:49.500"
"-Q7XEdjPcfw",0,"0:00:02.369","0:00:21.621"
"-3KdZZSF4NA",0,"0:00:11.344","0:00:22.789"
"-4cgtcdLbaM",2,"0:01:45.572","0:01:52.512"
"-4geY-n5DWk",2,"0:12:44.497","0:12:58.644"
"--8PO8cQxQA",0,"0:00:03.536","0:00:25.925"
"--jwGilIsy8",0,"0:02:53.760","0:03:00.800"
"--Jb31m2Sg0",0,"0:02:21.708","0:02:33.703"
"--u1rGzJfZU",0,"0:00:01.042","0:00:09.592"
"-4RZFcZkmX4",2,"0:00:55.180","0:01:17.619"
